month,item_name,product_type,vendor_name,commission_percent,quantity,unit_price,subtotal,commission_earned,vendor_share,business_line,category,notes,cost_per_item,profit_or_earned,date,sell_unit,pack_size
2026-07,Apple Crumble,my-product,,0,2,12,24,0,0,bakery,Pies,,0.75,22.50,2026-07-12,pack,
2026-07,Sourdough Bread,my-product,,0,2,10,20,0,0,bakery,Bread,,1.50,17.00,2026-07-12,loaf,
2026-07,Butter Tarts,my-product,,0,17,10,170,0,0,bakery,Butter Tarts,,3.42,111.86,2026-07-11,pack,6
2026-07,Laser Christmas Ornaments,my-product,,0,1,13,13,0,0,craft,Laser Craft Wood,,1.50,11.50,2026-07-10,each,
2026-07,Butter Tarts,my-product,,0,1,10,10,0,0,bakery,Butter Tarts,,3.42,6.58,2026-07-10,pack,6
2026-07,Tea Towel,my-product,,0,1,12,12,0,0,craft,Sewing,,3.00,9.00,2026-07-10,each,
2026-07,2 pc Embroidered Tea Towels,my-product,,0,1,22,22,0,0,craft,Embroidery,,8.00,14.00,2026-07-10,each,
2026-07,Butter Tarts,my-product,,0,1,10,10,0,0,bakery,Butter Tarts,,3.42,6.58,2026-07-10,pack,6
2026-07,Wreath - Orange Mesh,my-product,,0,1,35,35,0,0,craft,Wreaths,,20.00,15.00,2026-07-10,each,
2026-07,Butter Tarts,my-product,,0,2,10,20,0,0,bakery,Butter Tarts,,3.42,13.16,2026-07-10,pack,6
2026-07,Tea Towel,my-product,,0,1,12,12,0,0,craft,Sewing,,3.00,9.00,2026-07-10,each,
2026-07,Wrist Key Fob,my-product,,0,1,12,12,0,0,craft,Gifts,,1.10,10.90,2026-07-10,each,
2026-07,Apple Crumble,my-product,,0,2,12,24,0,0,bakery,Pies,,0.75,22.50,2026-07-07,pack,
2026-07,Sourdough Bread,my-product,,0,1,10,10,0,0,bakery,Bread,,1.50,8.50,2026-07-07,loaf,
2026-07,Butter Tarts,my-product,,0,20,10,200,0,0,bakery,Butter Tarts,,3.42,131.60,2026-07-07,pack,6
2026-07,Sourdough Bread,my-product,,0,3,10,30,0,0,bakery,Bread,,1.50,25.50,2026-07-01,loaf,
2026-07,Apple Crumble,my-product,,0,5,12,60,0,0,bakery,Pies,,0.75,56.25,2026-07-01,pack,
2026-07,Butter Tarts,my-product,,0,24,10,240,0,0,bakery,Butter Tarts,,3.42,157.92,2026-07-01,pack,6
2026-06,2 pc Embroidered Tea Towels,my-product,,0,1,22,22,0,0,craft,Embroidery,,8.00,14.00,2026-06-21,each,
2026-06,Wreath - Mesh,my-product,,0,1,40,40,0,0,craft,Wreaths,,15.00,25.00,2026-06-21,each,
2026-06,Laser Christmas Ornaments,my-product,,0,1,13,13,0,0,craft,Laser Craft Wood,,1.50,11.50,2026-06-21,each,
2026-06,Tea Towel,my-product,,0,1,12,12,0,0,craft,Sewing,,3.00,9.00,2026-06-21,each,
2026-06,Purse,my-product,,0,1,45,45,0,0,craft,Sewing,,10.00,35.00,2026-06-21,each,
2026-06,Butter Tarts,my-product,,0,4,10,40,0,0,bakery,Butter Tarts,,3.42,26.32,2026-06-21,pack,6
2026-06,Regular Bread,my-product,,0,2,8,16,0,0,bakery,Bread,,0.80,14.40,2026-06-21,loaf,
2026-06,Apple Crumble,my-product,,0,4,10,40,0,0,bakery,Pies,,0.75,37.00,2026-06-21,pack,
2026-06,Sourdough Bread,my-product,,0,6,10,60,0,0,bakery,Bread,,1.50,51.00,2026-06-21,loaf,
2026-06,Wrist Key Fob,my-product,,0,1,12,12,0,0,craft,Gifts,,1.10,10.90,2026-06-21,each,
2026-06,Apple Pie,my-product,,0,1,15,15,0,0,bakery,Apple Pie,,3.00,12.00,2026-06-21,each,
2026-06,Butter Tarts,my-product,,0,15,10,150,0,0,bakery,Butter Tarts,,3.42,98.70,2026-06-21,pack,6
2026-06,Wrist Key Fob,my-product,,0,1,12,12,0,0,craft,Gifts,,1.10,10.90,2026-06-13,each,
2026-06,Apple Pie,my-product,,0,1,15,15,0,0,bakery,Apple Pie,,3.00,12.00,2026-06-13,each,
2026-06,Apple Pie,my-product,,0,2,15,30,0,0,bakery,Apple Pie,,3.00,24.00,2026-06-13,each,
2026-06,Sourdough Bread,my-product,,0,5,10,50,0,0,bakery,Bread,,1.50,42.50,2026-06-13,loaf,
2026-06,Butter Tarts,my-product,,0,15,10,150,0,0,bakery,Butter Tarts,,3.42,98.70,2026-06-13,pack,6
2026-06,Tumblers,my-product,,0,1,25,25,0,0,craft,Sublimation,,8.00,17.00,2026-06-11,each,
2026-06,Kids Tumblers,my-product,,0,1,15,15,0,0,craft,Sublimation,,6.50,8.50,2026-06-08,each,
2026-06,Keychain,my-product,,0,1,3.5,3.5,0,0,craft,Craft,,0.80,2.70,2026-06-08,each,
2026-06,Orange Flowers,my-product,,0,1,5,5,0,0,craft,Floral Decor,,0.10,4.90,2026-06-08,each,
2026-06,Butter Tarts,my-product,,0,3,10,30,0,0,bakery,Butter Tarts,,3.42,19.74,2026-06-08,pack,6
2026-06,Tea Towel,my-product,,0,1,12,12,0,0,craft,Sewing,,3.00,9.00,2026-06-08,each,
2026-06,Baby Onesies,my-product,,0,1,15,15,0,0,craft,Embroidery,,3.75,11.25,2026-06-08,each,
2026-06,Purse,my-product,,0,1,45,45,0,0,craft,Sewing,,10.00,35.00,2026-06-08,each,
2026-05,Table Runner,my-product,,0,1,25,25,0,0,craft,Sewing,,1.10,23.90,2026-05-30,each,
2026-05,Butter Tarts,my-product,,0,7,10,70,0,0,bakery,Butter Tarts,,3.42,46.06,2026-05-30,pack,6
2026-05,Vanilla,third-party,Julie,75,2,10,20,15,5,bakery,Baking,,2.50,15.00,2026-05-10,each,
2026-05,Coffee Cake,third-party,Julie,75,2,5,10,7.5,2.5,bakery,Cake,,1.25,7.50,2026-05-10,each,
2026-05,Apple Tarts,my-product,,0,2,10.5,21,0,0,bakery,Butter Tarts,,3.42,14.16,2026-05-10,pack,6
2026-05,Blueberry Tarts,my-product,,0,2,10.5,21,0,0,bakery,Butter Tarts,,3.42,14.16,2026-05-09,pack,6
2026-05,Butter Tarts,my-product,,0,15,10,150,0,0,bakery,Butter Tarts,,3.42,98.70,2026-05-09,pack,6
2026-05,Wallet,my-product,,0,1,20,20,0,0,craft,Sewing,,2.50,17.50,2026-05-09,each,
2026-05,Butter Tarts,my-product,,0,2,9,18,0,0,bakery,Butter Tarts,,3.00,12.00,2026-05-09,pack,5
2026-05,Butter Tarts,my-product,,0,3,10,30,0,0,bakery,Butter Tarts,,3.42,19.74,2026-05-09,pack,6
2026-05,Butter Tarts,my-product,,0,2,10,20,0,0,bakery,Butter Tarts,,3.42,13.16,2026-05-02,pack,6
2026-05,Blueberry Tarts,my-product,,0,1,10.5,10.5,0,0,bakery,Butter Tarts,,3.42,7.08,2026-05-02,pack,6
2026-05,Butter Tarts,my-product,,0,9,9,81,0,0,bakery,Butter Tarts,,3.00,54.00,2026-05-02,pack,5
2026-04,Wrist Key Fob,my-product,,0,1,12,12,0,0,craft,Gifts,,1.10,10.90,2026-04-29,each,
2026-04,Table Runner,my-product,,0,1,25,25,0,0,craft,Sewing,,1.10,23.90,2026-04-29,each,
2026-04,Butter Tarts,my-product,,0,1,9,9,0,0,bakery,Butter Tarts,,3.00,6.00,2026-04-29,pack,5
2026-04,Butter Tarts,my-product,,0,3,7,21,0,0,bakery,Butter Tarts,,2.06,14.82,2026-04-29,pack,3
2026-04,Butter Tarts,my-product,,0,1,10.5,10.5,0,0,bakery,Butter Tarts,,3.42,7.08,2026-04-29,pack,6
2026-04,Baby Onesies,my-product,,0,1,15,15,0,0,craft,Embroidery,,3.75,11.25,2026-04-22,each,
2026-04,Butter Tarts,my-product,,0,13,7,91,0,0,bakery,Butter Tarts,,2.055385,64.28,2026-04-01,pack,3
2026-04,Sourdough Bread,my-product,,0,2,10,20,0,0,bakery,Bread,,1.50,17.00,2026-04-01,loaf,
2026-04,Apple Pie,my-product,,0,2,15,30,0,0,bakery,Apple Pie,,3.00,24.00,2026-04-01,each,
2026-04,Butter Tarts,my-product,,0,6,7,42,0,0,bakery,Butter Tarts,,2.055,29.67,2026-04-01,pack,3
2026-03,Butter Tarts,my-product,,0,4,7,28,0,0,bakery,Butter Tarts,,2.055,19.78,2026-03-01,pack,3
2026-03,Table Runner,my-product,,0,1,25,25,0,0,craft,Sewing,,1.10,23.90,2026-03-01,each,
2026-03,Wreath - Orange Mesh,my-product,,0,1,35,35,0,0,craft,Wreaths,,20.00,15.00,2026-03-01,each,
2026-03,Butter Tarts,my-product,,0,2,7,14,0,0,bakery,Butter Tarts,,2.055,9.89,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,2,7,14,0,0,bakery,Butter Tarts,,2.055,9.89,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,2,7,14,0,0,bakery,Butter Tarts,,2.055,9.89,2026-03-01,pack,3
2026-03,Cutting Board -Farmhouse-donna,third-party,Donna,25,1,10.3,10.3,2.58,7.72,craft,3rd Party,,7.72,2.58,2026-03-01,each,
2026-03,Bird House-donna,third-party,Donna,25,1,15,15,3.75,11.25,craft,Seasonal Items,,11.25,3.75,2026-03-01,each,
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-03,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-03-01,pack,3
2026-02,Butter Tarts,my-product,,0,2,7,14,0,0,bakery,Butter Tarts,,2.055,9.89,2026-02-01,pack,3
2026-02,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-02-01,pack,3
2026-02,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-02-01,pack,3
2026-02,Butter Tarts,my-product,,0,1,7,7,0,0,bakery,Butter Tarts,,2.05,4.95,2026-02-01,pack,3
2026-02,Butter Tarts,my-product,,0,2,7,14,0,0,bakery,Butter Tarts,,2.055,9.89,2026-02-01,pack,3
2026-01,Tumblers,my-product,,0,1,25,25,0,0,craft,Sublimation,,8.00,17.00,2026-01-01,each,
2026-01,Butter Tarts,my-product,,0,9,7,63,0,0,bakery,Butter Tarts,,2.054444,44.51,2026-01-01,pack,3
